ID,plant_name,breakdowns,L3,L4,ind
Packaging:Can Making - Golden Syrup Plant,Yonkers,0,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Confects Packaging,Baltimore,27.1804,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Chalmette,10.664,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Crockett,0.6084,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Toronto,18.8855,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Yonkers,8.446,Packaging,Confects Packaging,4
Packaging:Dust Collection,Baltimore,1.5479,Packaging,Dust Collection,4
Packaging:Dust Collection,Chalmette,4.2143,Packaging,Dust Collection,4
Packaging:Dust Collection,Crockett,0,Packaging,Dust Collection,4
Packaging:Dust Collection,Toronto,4.5715,Packaging,Dust Collection,4
Packaging:Dust Collection,Yonkers,0.6285,Packaging,Dust Collection,4
Packaging:Empty Package Material Handling,Baltimore,0.1368,Packaging,Empty Package Material Handling,4
Packaging:Empty Package Material Handling,Chalmette,0,Packaging,Empty Package Material Handling,4
Packaging:Empty Package Material Handling,Crockett,0,Packaging,Empty Package Material Handling,4
Packaging:Empty Package Material Handling,Toronto,0,Packaging,Empty Package Material Handling,4
Packaging:Empty Package Material Handling,Yonkers,0,Packaging,Empty Package Material Handling,4
Packaging:Finished Product Conveying,Baltimore,19.9344,Packaging,Finished Product Conveying,4
Packaging:Finished Product Conveying,Chalmette,26.7783,Packaging,Finished Product Conveying,4
Packaging:Finished Product Conveying,Crockett,55.6307,Packaging,Finished Product Conveying,4
Packaging:Finished Product Conveying,Toronto,51.4907,Packaging,Finished Product Conveying,4
Packaging:Finished Product Conveying,Yonkers,8.7008,Packaging,Finished Product Conveying,4
Packaging:Individual Serving Package ISP,Baltimore,6.8232,Packaging,Individual Serving Package ISP,4
Packaging:Individual Serving Package ISP,Chalmette,5.2412,Packaging,Individual Serving Package ISP,4
Packaging:Individual Serving Package ISP,Crockett,7.2854,Packaging,Individual Serving Package ISP,4
Packaging:Individual Serving Package ISP,Toronto,2.3606,Packaging,Individual Serving Package ISP,4
Packaging:Individual Serving Package ISP,Yonkers,0.5466,Packaging,Individual Serving Package ISP,4
Packaging:Industrial Gran Bagging System,Baltimore,8.7384,Packaging,Industrial Gran Bagging System,4
Packaging:Industrial Gran Bagging System,Chalmette,13.3706,Packaging,Industrial Gran Bagging System,4
Packaging:Industrial Gran Bagging System,Crockett,19.2732,Packaging,Industrial Gran Bagging System,4
Packaging:Industrial Gran Bagging System,Toronto,12.7919,Packaging,Industrial Gran Bagging System,4
Packaging:Industrial Gran Bagging System,Yonkers,8.2696,Packaging,Industrial Gran Bagging System,4
Packaging:Mobile Equipment Packaging,Baltimore,0.1327,Packaging,Mobile Equipment Packaging,4
Packaging:Mobile Equipment Packaging,Chalmette,0,Packaging,Mobile Equipment Packaging,4
Packaging:Mobile Equipment Packaging,Crockett,2.8057,Packaging,Mobile Equipment Packaging,4
Packaging:Mobile Equipment Packaging,Toronto,0,Packaging,Mobile Equipment Packaging,4
Packaging:Mobile Equipment Packaging,Yonkers,0,Packaging,Mobile Equipment Packaging,4
Packaging:Packaging Maintenance Shops,Baltimore,4.9872,Packaging,Packaging Maintenance Shops,4
Packaging:Packaging Maintenance Shops,Chalmette,0.1532,Packaging,Packaging Maintenance Shops,4
Packaging:Packaging Maintenance Shops,Crockett,0,Packaging,Packaging Maintenance Shops,4
Packaging:Packaging Maintenance Shops,Toronto,1.1169,Packaging,Packaging Maintenance Shops,4
Packaging:Packaging Maintenance Shops,Yonkers,1.8935,Packaging,Packaging Maintenance Shops,4
Packaging:Powder Mills,Baltimore,3.3383,Packaging,Powder Mills,4
Packaging:Powder Mills,Chalmette,13.929,Packaging,Powder Mills,4
Packaging:Powder Mills,Crockett,28.2674,Packaging,Powder Mills,4
Packaging:Powder Mills,Toronto,10.4896,Packaging,Powder Mills,4
Packaging:Powder Mills,Yonkers,2.4464,Packaging,Powder Mills,4
Packaging:Reprocess Sugar System,Baltimore,0.7734,Packaging,Reprocess Sugar System,4
Packaging:Reprocess Sugar System,Chalmette,0.8297,Packaging,Reprocess Sugar System,4
Packaging:Reprocess Sugar System,Crockett,0,Packaging,Reprocess Sugar System,4
Packaging:Reprocess Sugar System,Toronto,0,Packaging,Reprocess Sugar System,4
Packaging:Reprocess Sugar System,Yonkers,0,Packaging,Reprocess Sugar System,4
Packaging:Soft Sugar Packaging,Baltimore,17.8348,Packaging,Soft Sugar Packaging,4
Packaging:Soft Sugar Packaging,Chalmette,21.3324,Packaging,Soft Sugar Packaging,4
Packaging:Soft Sugar Packaging,Crockett,63.6968,Packaging,Soft Sugar Packaging,4
Packaging:Soft Sugar Packaging,Toronto,34.0928,Packaging,Soft Sugar Packaging,4
Packaging:Soft Sugar Packaging,Yonkers,11.8177,Packaging,Soft Sugar Packaging,4
Packaging:White Sugar Distribution,Baltimore,14.0429,Packaging,White Sugar Distribution,4
Packaging:White Sugar Distribution,Chalmette,23.7135,Packaging,White Sugar Distribution,4
Packaging:White Sugar Distribution,Crockett,37.95,Packaging,White Sugar Distribution,4
Packaging:White Sugar Distribution,Toronto,8.3209,Packaging,White Sugar Distribution,4
Packaging:White Sugar Distribution,Yonkers,0,Packaging,White Sugar Distribution,4
Specialty Production:Speciality Product Process,Baltimore,16.6032,Specialty Production,Speciality Product Process,5
Specialty Production:Speciality Product Process,Chalmette,20.6571,Specialty Production,Speciality Product Process,5
Specialty Production:Speciality Product Process,Crockett,12.7897,Specialty Production,Speciality Product Process,5
Specialty Production:Speciality Product Process,Toronto,0,Specialty Production,Speciality Product Process,5
Specialty Production:Speciality Product Process,Yonkers,0,Specialty Production,Speciality Product Process,5
Warehouse:Warehouse Mobile Equipmet,Baltimore,0.3572,Warehouse,Warehouse Mobile Equipmet,6
Warehouse:Warehouse Mobile Equipmet,Chalmette,3.8566,Warehouse,Warehouse Mobile Equipmet,6
Warehouse:Warehouse Mobile Equipmet,Crockett,13.28,Warehouse,Warehouse Mobile Equipmet,6
Warehouse:Warehouse Mobile Equipmet,Toronto,3.2413,Warehouse,Warehouse Mobile Equipmet,6
Warehouse:Warehouse Mobile Equipmet,Yonkers,0,Warehouse,Warehouse Mobile Equipmet,6
Warehouse:Warehouse Truck Loading,Baltimore,0,Warehouse,Warehouse Truck Loading,6
Warehouse:Warehouse Truck Loading,Chalmette,0.7094,Warehouse,Warehouse Truck Loading,6
Warehouse:Warehouse Truck Loading,Crockett,18.9357,Warehouse,Warehouse Truck Loading,6
Warehouse:Warehouse Truck Loading,Toronto,1.1194,Warehouse,Warehouse Truck Loading,6
Warehouse:Warehouse Truck Loading,Yonkers,0,Warehouse,Warehouse Truck Loading,6
Utilities:Auxiliary B and P Systems,Baltimore,6.5949,Utilities,Auxiliary B and P Systems,7
Utilities:Auxiliary B and P Systems,Chalmette,13.4281,Utilities,Auxiliary B and P Systems,7
Utilities:Auxiliary B and P Systems,Crockett,0,Utilities,Auxiliary B and P Systems,7
Utilities:Auxiliary B and P Systems,Toronto,14.6194,Utilities,Auxiliary B and P Systems,7
Utilities:Auxiliary B and P Systems,Yonkers,3.9134,Utilities,Auxiliary B and P Systems,7
Utilities:Buildings,Baltimore,24.5676,Utilities,Buildings,7
Utilities:Buildings,Chalmette,26.618,Utilities,Buildings,7
Utilities:Buildings,Crockett,23.8667,Utilities,Buildings,7
Utilities:Buildings,Toronto,37.8478,Utilities,Buildings,7
Utilities:Buildings,Yonkers,41.0215,Utilities,Buildings,7
Utilities:Compressed Air,Baltimore,5.0946,Utilities,Compressed Air,7
Utilities:Compressed Air,Chalmette,0.739,Utilities,Compressed Air,7
Utilities:Compressed Air,Crockett,4.0552,Utilities,Compressed Air,7
Utilities:Compressed Air,Toronto,3.2353,Utilities,Compressed Air,7
Utilities:Compressed Air,Yonkers,1.3578,Utilities,Compressed Air,7
Utilities:Electrical Wiring and Lighting,Baltimore,16.7005,Utilities,Electrical Wiring and Lighting,7
Utilities:Electrical Wiring and Lighting,Chalmette,6.082,Utilities,Electrical Wiring and Lighting,7
Utilities:Electrical Wiring and Lighting,Crockett,0.709,Utilities,Electrical Wiring and Lighting,7
Utilities:Electrical Wiring and Lighting,Toronto,0,Utilities,Electrical Wiring and Lighting,7
Utilities:Electrical Wiring and Lighting,Yonkers,2.6695,Utilities,Electrical Wiring and Lighting,7
Utilities:Fuel Systems,Baltimore,0,Utilities,Fuel Systems,7
Utilities:Fuel Systems,Chalmette,0,Utilities,Fuel Systems,7
Utilities:Fuel Systems,Crockett,0,Utilities,Fuel Systems,7
Utilities:Fuel Systems,Toronto,1.4399,Utilities,Fuel Systems,7
Utilities:Fuel Systems,Yonkers,0,Utilities,Fuel Systems,7
Utilities:Grounds,Baltimore,0.9681,Utilities,Grounds,7
Utilities:Grounds,Chalmette,0.2766,Utilities,Grounds,7
Utilities:Grounds,Crockett,0.6468,Utilities,Grounds,7
Utilities:Grounds,Toronto,1.7167,Utilities,Grounds,7
Utilities:Grounds,Yonkers,2.7067,Utilities,Grounds,7
Utilities:HVAC,Baltimore,2.4602,Utilities,HVAC,7
Utilities:HVAC,Chalmette,0.816,Utilities,HVAC,7
Utilities:HVAC,Crockett,1.8783,Utilities,HVAC,7
Utilities:HVAC,Toronto,12.9382,Utilities,HVAC,7
Utilities:HVAC,Yonkers,1.5797,Utilities,HVAC,7
Utilities:High Voltage Electrical Systems,Baltimore,3.1696,Utilities,High Voltage Electrical Systems,7
Utilities:High Voltage Electrical Systems,Chalmette,0.8849,Utilities,High Voltage Electrical Systems,7
Utilities:High Voltage Electrical Systems,Crockett,0.2777,Utilities,High Voltage Electrical Systems,7
Utilities:High Voltage Electrical Systems,Toronto,2.3734,Utilities,High Voltage Electrical Systems,7
Utilities:High Voltage Electrical Systems,Yonkers,2.689,Utilities,High Voltage Electrical Systems,7
Utilities:Industrial Waste Water Systems,Baltimore,1.8526,Utilities,Industrial Waste Water Systems,7
Utilities:Industrial Waste Water Systems,Chalmette,2.7208,Utilities,Industrial Waste Water Systems,7
Utilities:Industrial Waste Water Systems,Crockett,7.8328,Utilities,Industrial Waste Water Systems,7
Utilities:Industrial Waste Water Systems,Toronto,2.8107,Utilities,Industrial Waste Water Systems,7
Utilities:Industrial Waste Water Systems,Yonkers,1.2362,Utilities,Industrial Waste Water Systems,7
Utilities:Low Voltage Electrical Systems,Baltimore,0,Utilities,Low Voltage Electrical Systems,7
Utilities:Low Voltage Electrical Systems,Chalmette,0,Utilities,Low Voltage Electrical Systems,7
Utilities:Low Voltage Electrical Systems,Crockett,0.6466,Utilities,Low Voltage Electrical Systems,7
Utilities:Low Voltage Electrical Systems,Toronto,9.8703,Utilities,Low Voltage Electrical Systems,7
Utilities:Low Voltage Electrical Systems,Yonkers,0,Utilities,Low Voltage Electrical Systems,7
Utilities:Piping,Baltimore,33.3535,Utilities,Piping,7
Utilities:Piping,Chalmette,11.2029,Utilities,Piping,7
Utilities:Piping,Crockett,14.0037,Utilities,Piping,7
Utilities:Piping,Toronto,0,Utilities,Piping,7
Utilities:Piping,Yonkers,0,Utilities,Piping,7
Utilities:Power Generation,Baltimore,3.6839,Utilities,Power Generation,7
Utilities:Power Generation,Chalmette,3.1105,Utilities,Power Generation,7
Utilities:Power Generation,Crockett,5.3217,Utilities,Power Generation,7
Utilities:Power Generation,Toronto,1.5732,Utilities,Power Generation,7
Utilities:Power Generation,Yonkers,4.2423,Utilities,Power Generation,7
Utilities:Steam Generation,Baltimore,6.449,Utilities,Steam Generation,7
Utilities:Steam Generation,Chalmette,5.9306,Utilities,Steam Generation,7
Utilities:Steam Generation,Crockett,0,Utilities,Steam Generation,7
Utilities:Steam Generation,Toronto,5.2794,Utilities,Steam Generation,7
Utilities:Steam Generation,Yonkers,2.263,Utilities,Steam Generation,7
Engineering:Auxiliary Equipment,Baltimore,0,Engineering,Auxiliary Equipment,8
Engineering:Auxiliary Equipment,Chalmette,0,Engineering,Auxiliary Equipment,8
Engineering:Auxiliary Equipment,Crockett,0,Engineering,Auxiliary Equipment,8
Engineering:Auxiliary Equipment,Toronto,0,Engineering,Auxiliary Equipment,8
Engineering:Auxiliary Equipment,Yonkers,0.1818,Engineering,Auxiliary Equipment,8
Engineering:Maintenace Mobile Equipment,Baltimore,0.5359,Engineering,Maintenace Mobile Equipment,8
Engineering:Maintenace Mobile Equipment,Chalmette,2.9912,Engineering,Maintenace Mobile Equipment,8
Engineering:Maintenace Mobile Equipment,Crockett,2.5698,Engineering,Maintenace Mobile Equipment,8
Engineering:Maintenace Mobile Equipment,Toronto,0.9878,Engineering,Maintenace Mobile Equipment,8
Engineering:Maintenace Mobile Equipment,Yonkers,0,Engineering,Maintenace Mobile Equipment,8
Engineering:Maintenance Shops,Baltimore,4.7157,Engineering,Maintenance Shops,8
Engineering:Maintenance Shops,Chalmette,4.4962,Engineering,Maintenance Shops,8
Engineering:Maintenance Shops,Crockett,0.8657,Engineering,Maintenance Shops,8
Engineering:Maintenance Shops,Toronto,6.2433,Engineering,Maintenance Shops,8
Engineering:Maintenance Shops,Yonkers,4.9471,Engineering,Maintenance Shops,8
Mfg Information Systems:Backbone,Baltimore,0,Mfg Information Systems,Backbone,9
Mfg Information Systems:Backbone,Chalmette,0.1481,Mfg Information Systems,Backbone,9
Mfg Information Systems:Backbone,Crockett,0,Mfg Information Systems,Backbone,9
Mfg Information Systems:Backbone,Toronto,0,Mfg Information Systems,Backbone,9
Mfg Information Systems:Backbone,Yonkers,0,Mfg Information Systems,Backbone,9
Mfg Information Systems:Computer Hardware,Baltimore,0,Mfg Information Systems,Computer Hardware,9
Mfg Information Systems:Computer Hardware,Chalmette,0.1335,Mfg Information Systems,Computer Hardware,9
Mfg Information Systems:Computer Hardware,Crockett,0.2345,Mfg Information Systems,Computer Hardware,9
Mfg Information Systems:Computer Hardware,Toronto,0.1682,Mfg Information Systems,Computer Hardware,9
Mfg Information Systems:Computer Hardware,Yonkers,0,Mfg Information Systems,Computer Hardware,9
Mfg Information Systems:LAN,Baltimore,1.0953,Mfg Information Systems,LAN,9
Mfg Information Systems:LAN,Chalmette,0,Mfg Information Systems,LAN,9
Mfg Information Systems:LAN,Crockett,0,Mfg Information Systems,LAN,9
Mfg Information Systems:LAN,Toronto,0,Mfg Information Systems,LAN,9
Mfg Information Systems:LAN,Yonkers,0,Mfg Information Systems,LAN,9
Mfg Information Systems:Telephone,Baltimore,0,Mfg Information Systems,Telephone,9
Mfg Information Systems:Telephone,Chalmette,0,Mfg Information Systems,Telephone,9
Mfg Information Systems:Telephone,Crockett,0,Mfg Information Systems,Telephone,9
Mfg Information Systems:Telephone,Toronto,0.7533,Mfg Information Systems,Telephone,9
Mfg Information Systems:Telephone,Yonkers,0,Mfg Information Systems,Telephone,9
